"Markettype","Trdwnt","Cwretmdos"
"63","2000-23","0.020618"
"69","2000-23","0.015812"
"79","2000-23","0.020618"
"85","2000-23","0.015812"
"95","2000-23","0.020618"
"101","2000-23","0.015812"
"111","2000-23","0.020618"
"117","2000-23","0.015812"
"127","2000-23","0.020618"
"33","2000-23","0.017835"
"20","2000-23","0.013751"
"5","2000-24","-0.007571"
"10","2000-24","-0.049588"
"15","2000-24","-0.008848"
"21","2000-24","-0.007571"
"31","2000-24","-0.008848"
"37","2000-24","-0.007571"
"47","2000-24","-0.008848"
"53","2000-24","-0.007571"
"63","2000-24","-0.008848"
"69","2000-24","-0.007571"
"79","2000-24","-0.008848"
"85","2000-24","-0.007571"
"95","2000-24","-0.008848"
"101","2000-24","-0.007571"
"111","2000-24","-0.008848"
"117","2000-24","-0.007571"
"127","2000-24","-0.008848"
"33","2000-24","-0.008633"
"20","2000-24","-0.006493"
"5","2000-25","0.010180"
"10","2000-25","0.067180"
"15","2000-25","0.011773"
"21","2000-25","0.010180"
"31","2000-25","0.011773"
"37","2000-25","0.010180"
"47","2000-25","0.011773"
"53","2000-25","0.010180"
"63","2000-25","0.011773"
"69","2000-25","0.010180"
"79","2000-25","0.011773"
"85","2000-25","0.010180"
"95","2000-25","0.011773"
"101","2000-25","0.010180"
"111","2000-25","0.011773"
"117","2000-25","0.010180"
"127","2000-25","0.011773"
"33","2000-25","0.011898"
"20","2000-25","0.008445"
"5","2000-26","0.013317"
"10","2000-26","0.012174"
"15","2000-26","0.013284"
"21","2000-26","0.013317"
"31","2000-26","0.013284"
"37","2000-26","0.013317"
"47","2000-26","0.013284"
"53","2000-26","0.013317"
"63","2000-26","0.013284"
"69","2000-26","0.013317"
"79","2000-26","0.013284"
"85","2000-26","0.013317"
"95","2000-26","0.013284"
"101","2000-26","0.013317"
"111","2000-26","0.013284"
"117","2000-26","0.013317"
"127","2000-26","0.013284"
"33","2000-26","0.008889"
"20","2000-26","0.017812"
"5","2000-27","-0.002747"
"10","2000-27","0.031070"
"15","2000-27","-0.001777"
"21","2000-27","-0.002747"
"31","2000-27","-0.001777"
"37","2000-27","-0.002747"
"47","2000-27","-0.001777"
"53","2000-27","-0.002747"
"63","2000-27","-0.001777"
"69","2000-27","-0.002747"
"79","2000-27","-0.001777"
"85","2000-27","-0.002747"
"95","2000-27","-0.001777"
"101","2000-27","-0.002747"
"111","2000-27","-0.001777"
"117","2000-27","-0.002747"
"127","2000-27","-0.001777"
"33","2000-27","-0.006870"
"20","2000-27","0.001398"
"5","2000-28","0.000254"
"10","2000-28","-0.019531"
"15","2000-28","-0.000321"
"21","2000-28","0.000254"
"31","2000-28","-0.000321"
"37","2000-28","0.000254"
"47","2000-28","-0.000321"
"53","2000-28","0.000254"
"63","2000-28","-0.000321"
"69","2000-28","0.000254"
"79","2000-28","-0.000321"
"85","2000-28","0.000254"
"95","2000-28","-0.000321"
"101","2000-28","0.000254"
"111","2000-28","-0.000321"
"117","2000-28","0.000254"
"127","2000-28","-0.000321"
"33","2000-28","0.001723"
"20","2000-28","-0.001214"
"5","2000-29","0.024437"
"10","2000-29","0.042953"
"15","2000-29","0.024962"
"21","2000-29","0.024437"
"31","2000-29","0.024962"
"37","2000-29","0.024437"
"47","2000-29","0.024962"
"53","2000-29","0.024437"
"63","2000-29","0.024962"
"69","2000-29","0.024437"
"79","2000-29","0.024962"
"85","2000-29","0.024437"
"95","2000-29","0.024962"
"101","2000-29","0.024437"
"111","2000-29","0.024962"
